ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_118590,5,27,N375HA,LAX,OGG,2486,19690,900,1145,Hawaiian Airlines Inc.,HA
TRAIN_145446,5,28,N805HC,JHM,HNL,84,20263,1335,1411,,
TRAIN_147798,5,10,N804HC,LNY,HNL,72,20263,1418,1450,Empire Airlines Inc.,HA
TRAIN_164811,5,30,N495HA,HNL,KOA,163,19690,501,546,Hawaiian Airlines Inc.,HA
TRAIN_192171,5,17,N320DN,MIA,ATL,594,19790,600,752,Delta Air Lines Inc.,DL
TRAIN_246393,5,28,N805HC,HNL,JHM,84,20263,1230,1311,Empire Airlines Inc.,HA
TRAIN_246922,5,4,N805HC,HNL,LNY,72,20263,1520,1554,Empire Airlines Inc.,HA
TRAIN_252549,5,6,N805HC,HNL,LNY,72,20263,1318,1352,Empire Airlines Inc.,HA
TRAIN_313724,5,22,N804HC,HNL,MKK,54,20263,1722,1752,Empire Airlines Inc.,
TRAIN_434194,5,25,N805HC,HNL,LNY,72,20263,1520,1554,Empire Airlines Inc.,HA
TRAIN_451709,5,26,N805HC,MKK,HNL,54,20263,1537,1605,Empire Airlines Inc.,HA
TRAIN_462164,5,27,N375HA,LAX,OGG,2486,19690,900,1145,Hawaiian Airlines Inc.,HA
TRAIN_480729,5,28,N804HC,HNL,LNY,72,20263,1318,1352,Empire Airlines Inc.,HA
TRAIN_596303,5,25,N483HA,KOA,HNL,163,19690,616,701,Hawaiian Airlines Inc.,
TRAIN_634511,5,9,N804HC,JHM,HNL,84,20263,1335,1411,Empire Airlines Inc.,HA
TRAIN_678000,5,6,N805HC,HNL,LNY,72,20263,1318,1352,Empire Airlines Inc.,HA
TRAIN_760970,5,23,N804HC,JHM,HNL,84,20263,830,906,,HA
