ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_048159,6,18,N857AE,LCH,DFW,295,20398,1623,1745,Envoy Air,
TRAIN_181043,6,26,N684NK,ORD,LAX,1744,20416,600,822,Spirit Air Lines,NK
TRAIN_209581,6,19,N801HC,HNL,JHM,84,20263,1635,1716,Empire Airlines Inc.,HA
TRAIN_235451,6,1,N390HA,LAX,OGG,2486,19690,900,1145,Hawaiian Airlines Inc.,HA
TRAIN_243545,6,3,N804HC,HNL,LNY,72,20263,1051,1125,Empire Airlines Inc.,HA
TRAIN_252627,6,23,N672NK,IAH,ATL,689,20416,1330,1638,Spirit Air Lines,NK
TRAIN_276145,6,26,N801HC,MKK,HNL,54,20263,751,819,Empire Airlines Inc.,HA
TRAIN_457532,6,20,N212UA,HNL,SFO,2398,19977,2100,453,United Air Lines Inc.,UA
TRAIN_463596,6,5,N804HC,MKK,HNL,54,20263,1818,1846,Empire Airlines Inc.,
TRAIN_489065,6,24,N801HC,HNL,MKK,54,20263,1722,1752,Empire Airlines Inc.,HA
TRAIN_540608,6,26,N801HC,LNY,HNL,72,20263,1620,1652,Empire Airlines Inc.,HA
TRAIN_546455,6,4,N804HC,HNL,LNY,72,20263,1846,1920,Empire Airlines Inc.,HA
TRAIN_560929,6,29,N804HC,LNY,HNL,72,20263,1151,1223,Empire Airlines Inc.,
TRAIN_668992,6,3,N805HC,HNL,JHM,84,20263,1635,1716,Empire Airlines Inc.,HA
TRAIN_718125,6,21,N801HC,HNL,LNY,72,20263,1051,1125,Empire Airlines Inc.,HA
TRAIN_752578,6,20,N502MJ,DTW,IAD,383,20378,1455,1625,Mesa Airlines Inc.,UA
TRAIN_811987,6,19,N801HC,MKK,HNL,54,20263,1537,1605,Empire Airlines Inc.,HA
TRAIN_820881,6,24,N801HC,HNL,LNY,72,20263,1318,1352,Empire Airlines Inc.,HA
TRAIN_823721,6,19,N801HC,JHM,HNL,84,20263,1335,1411,Empire Airlines Inc.,HA
TRAIN_851612,6,14,N801HC,HNL,MKK,54,20263,1441,1511,Empire Airlines Inc.,HA
TRAIN_872369,6,26,N261NN,DFW,LIT,304,20398,2215,2328,Envoy Air,AA
