dimension,value,eligible_rows,matched_rows,unmatched_rows,unmatched_rate
Carrier_ID(DOT),19393,11868,11868,0,0.0
Carrier_ID(DOT),19687,968,968,0,0.0
Carrier_ID(DOT),19690,676,676,0,0.0
Carrier_ID(DOT),19790,8177,8177,0,0.0
Carrier_ID(DOT),19805,8066,8066,0,0.0
Carrier_ID(DOT),19930,2174,2174,0,0.0
Carrier_ID(DOT),19977,5347,5347,0,0.0
Carrier_ID(DOT),20046,894,894,0,0.0
Carrier_ID(DOT),20225,9,9,0,0.0
Carrier_ID(DOT),20237,611,611,0,0.0
Carrier_ID(DOT),20263,69,69,0,0.0
Carrier_ID(DOT),20304,6809,6809,0,0.0
Carrier_ID(DOT),20363,2070,2070,0,0.0
Carrier_ID(DOT),20366,1384,1384,0,0.0
Carrier_ID(DOT),20368,849,849,0,0.0
Carrier_ID(DOT),20378,1978,1978,0,0.0
Carrier_ID(DOT),20397,2583,2583,0,0.0
Carrier_ID(DOT),20398,2598,2598,0,0.0
Carrier_ID(DOT),20409,2621,2621,0,0.0
Carrier_ID(DOT),20416,1644,1644,0,0.0
Carrier_ID(DOT),20427,966,966,0,0.0
Carrier_ID(DOT),20436,1234,1234,0,0.0
Carrier_ID(DOT),20445,482,482,0,0.0
Carrier_ID(DOT),20452,2711,2711,0,0.0
Carrier_ID(DOT),20500,727,727,0,0.0
Carrier_ID(DOT),21167,768,768,0,0.0
Airline,(missing),7394,7394,0,0.0
Airline,Air Wisconsin Airlines Corp,817,817,0,0.0
Airline,Alaska Airlines Inc.,1938,1938,0,0.0
Airline,Allegiant Air,754,754,0,0.0
Airline,American Airlines Inc.,7190,7190,0,0.0
Airline,Capital Cargo International,848,848,0,0.0
Airline,Comair Inc.,2298,2298,0,0.0
Airline,"Commutair Aka Champlain Enterprises, Inc.",438,438,0,0.0
Airline,Compass Airlines,684,684,0,0.0
Airline,Delta Air Lines Inc.,7262,7262,0,0.0
Airline,Empire Airlines Inc.,56,56,0,0.0
Airline,Endeavor Air Inc.,1871,1871,0,0.0
Airline,Envoy Air,2286,2286,0,0.0
Airline,ExpressJet Airlines Inc.,1244,1244,0,0.0
Airline,Frontier Airlines Inc.,1084,1084,0,0.0
Airline,"GoJet Airlines, LLC d/b/a United Express",663,663,0,0.0
Airline,Hawaiian Airlines Inc.,603,603,0,0.0
Airline,Horizon Air,859,859,0,0.0
Airline,JetBlue Airways,2335,2335,0,0.0
Airline,Mesa Airlines Inc.,1754,1754,0,0.0
Airline,Peninsula Airways Inc.,7,7,0,0.0
Airline,Republic Airlines,2440,2440,0,0.0
Airline,SkyWest Airlines Inc.,6099,6099,0,0.0
Airline,Southwest Airlines Co.,10608,10608,0,0.0
Airline,Spirit Air Lines,1465,1465,0,0.0
Airline,Trans States Airlines,534,534,0,0.0
Airline,United Air Lines Inc.,4752,4752,0,0.0
carrier_group,previously-absent operator,5494,5494,0,0.0
carrier_group,reporting carrier,62789,62789,0,0.0
route,ABE->ATL,3,3,0,0.0
route,ABE->BNA,3,3,0,0.0
route,ABE->CLT,13,13,0,0.0
route,ABE->DTW,5,5,0,0.0
route,ABE->FLL,1,1,0,0.0
route,ABE->ORD,7,7,0,0.0
route,ABE->PGD,1,1,0,0.0
route,ABE->PHL,8,8,0,0.0
route,ABE->PIE,2,2,0,0.0
route,ABE->SFB,4,4,0,0.0
route,ABI->DFW,8,8,0,0.0
route,ABQ->ATL,10,10,0,0.0
route,ABQ->AUS,3,3,0,0.0
route,ABQ->BWI,2,2,0,0.0
route,ABQ->DAL,17,17,0,0.0
route,ABQ->DEN,24,24,0,0.0
route,ABQ->DFW,22,22,0,0.0
route,ABQ->HOU,8,8,0,0.0
route,ABQ->IAH,13,13,0,0.0
route,ABQ->JFK,2,2,0,0.0
route,ABQ->LAS,9,9,0,0.0
route,ABQ->LAX,26,26,0,0.0
route,ABQ->MCI,3,3,0,0.0
route,ABQ->MCO,1,1,0,0.0
route,ABQ->MDW,6,6,0,0.0
route,ABQ->OAK,14,14,0,0.0
route,ABQ->ORD,7,7,0,0.0
route,ABQ->PDX,3,3,0,0.0
route,ABQ->PHX,31,31,0,0.0
route,ABQ->SAN,11,11,0,0.0
route,ABQ->SEA,4,4,0,0.0
route,ABQ->SFO,10,10,0,0.0
route,ABQ->SJC,1,1,0,0.0
route,ABQ->SLC,6,6,0,0.0
route,ABQ->SNA,2,2,0,0.0
route,ABR->MSP,9,9,0,0.0
route,ABY->ATL,7,7,0,0.0
route,ACT->DFW,12,12,0,0.0
route,ACV->LAX,6,6,0,0.0
route,ACV->SFO,17,17,0,0.0
route,ACY->ATL,1,1,0,0.0
route,ACY->FLL,11,11,0,0.0
route,ACY->MCO,7,7,0,0.0
route,ACY->MSY,1,1,0,0.0
route,ACY->MYR,2,2,0,0.0
route,ACY->PBI,2,2,0,0.0
route,ACY->RSW,6,6,0,0.0
route,ADK->ANC,2,2,0,0.0
route,ADQ->ANC,6,6,0,0.0
route,AEX->ATL,13,13,0,0.0
route,AEX->DFW,10,10,0,0.0
route,AEX->IAH,12,12,0,0.0
route,AGS->ATL,15,15,0,0.0
route,AGS->CLT,7,7,0,0.0
route,AGS->DFW,1,1,0,0.0
route,ALB->ATL,11,11,0,0.0
route,ALB->BWI,21,21,0,0.0
route,ALB->CLT,8,8,0,0.0
route,ALB->DCA,13,13,0,0.0
route,ALB->DEN,4,4,0,0.0
route,ALB->DTW,12,12,0,0.0
route,ALB->EWR,18,18,0,0.0
route,ALB->FLL,6,6,0,0.0
route,ALB->IAD,3,3,0,0.0
route,ALB->LAS,1,1,0,0.0
route,ALB->MCO,16,16,0,0.0
route,ALB->MDW,10,10,0,0.0
route,ALB->ORD,20,20,0,0.0
route,ALB->PHL,18,18,0,0.0
route,ALB->TPA,5,5,0,0.0
route,ALO->ORD,10,10,0,0.0
route,ALW->SEA,7,7,0,0.0
route,AMA->DAL,10,10,0,0.0
route,AMA->DEN,6,6,0,0.0
route,AMA->DFW,16,16,0,0.0
route,AMA->IAH,8,8,0,0.0
route,AMA->LAS,3,3,0,0.0
route,ANC->ADQ,9,9,0,0.0
route,ANC->BET,5,5,0,0.0
route,ANC->CDV,4,4,0,0.0
route,ANC->DEN,5,5,0,0.0
route,ANC->DUT,7,7,0,0.0
route,ANC->FAI,20,20,0,0.0
route,ANC->HNL,2,2,0,0.0
route,ANC->JNU,11,11,0,0.0
route,ANC->MSP,1,1,0,0.0
route,ANC->OGG,1,1,0,0.0
route,ANC->OME,1,1,0,0.0
route,ANC->ORD,1,1,0,0.0
route,ANC->OTZ,6,6,0,0.0
route,ANC->PDX,8,8,0,0.0
route,ANC->PHX,3,3,0,0.0
route,ANC->SCC,5,5,0,0.0
route,ANC->SEA,48,48,0,0.0
route,APN->DTW,2,2,0,0.0
route,APN->PLN,6,6,0,0.0
route,ART->PHL,4,4,0,0.0
route,ASE->DEN,14,14,0,0.0
route,ASE->DFW,3,3,0,0.0
route,ASE->IAH,1,1,0,0.0
route,ASE->LAX,2,2,0,0.0
route,ASE->SLC,3,3,0,0.0
route,ATL->ABE,7,7,0,0.0
route,ATL->ABQ,5,5,0,0.0
route,ATL->ABY,7,7,0,0.0
route,ATL->ACY,1,1,0,0.0
route,ATL->AEX,14,14,0,0.0
route,ATL->AGS,18,18,0,0.0
route,ATL->ALB,8,8,0,0.0
route,ATL->ATW,4,4,0,0.0
route,ATL->AUS,39,39,0,0.0
route,ATL->AVL,15,15,0,0.0
route,ATL->BDL,19,19,0,0.0
route,ATL->BHM,33,33,0,0.0
route,ATL->BMI,8,8,0,0.0
route,ATL->BNA,37,37,0,0.0
route,ATL->BOS,61,61,0,0.0
route,ATL->BQK,12,12,0,0.0
route,ATL->BTR,21,21,0,0.0
route,ATL->BTV,4,4,0,0.0
route,ATL->BUF,15,15,0,0.0
route,ATL->BUR,3,3,0,0.0
route,ATL->BWI,56,56,0,0.0
route,ATL->CAE,22,22,0,0.0
route,ATL->CAK,9,9,0,0.0
route,ATL->CHA,34,34,0,0.0
route,ATL->CHO,15,15,0,0.0
route,ATL->CHS,37,37,0,0.0
route,ATL->CID,12,12,0,0.0
route,ATL->CLE,26,26,0,0.0
route,ATL->CLT,56,56,0,0.0
route,ATL->CMH,25,25,0,0.0
route,ATL->COS,4,4,0,0.0
route,ATL->CRW,16,16,0,0.0
route,ATL->CSG,7,7,0,0.0
route,ATL->CVG,30,30,0,0.0
route,ATL->DAB,14,14,0,0.0
route,ATL->DAL,32,32,0,0.0
route,ATL->DAY,5,5,0,0.0
route,ATL->DCA,59,59,0,0.0
route,ATL->DEN,55,55,0,0.0
route,ATL->DFW,56,56,0,0.0
route,ATL->DHN,13,13,0,0.0
route,ATL->DSM,10,10,0,0.0
route,ATL->DTW,42,42,0,0.0
route,ATL->ECP,11,11,0,0.0
route,ATL->ELP,7,7,0,0.0
route,ATL->EVV,7,7,0,0.0
