ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_137760,7,10,N495WN,LGA,STL,888,19393,725,900,,WN
TRAIN_142957,7,29,N483HA,OGG,KOA,84,19690,1035,1110,Hawaiian Airlines Inc.,HA
TRAIN_160723,7,28,N378HA,HNL,LAX,2556,19690,800,1630,Hawaiian Airlines Inc.,HA
TRAIN_308232,7,19,N801HC,HNL,LNY,72,20263,1520,1554,Empire Airlines Inc.,HA
TRAIN_444260,7,4,N502MJ,DTW,IAD,383,20378,1455,1625,Mesa Airlines Inc.,UA
TRAIN_449780,7,30,N266JB,DTW,BOS,632,20409,545,732,JetBlue Airways,B6
TRAIN_455568,7,24,N973NN,ORD,LGA,733,19805,930,1240,American Airlines Inc.,AA
TRAIN_615779,7,4,N488HA,KOA,HNL,163,19690,616,701,Hawaiian Airlines Inc.,HA
TRAIN_657418,7,10,N11194,BUF,EWR,282,20445,730,854,,UA
TRAIN_723375,7,23,N519LR,IAD,CHS,441,20378,815,954,Mesa Airlines Inc.,UA
TRAIN_742649,7,2,N804HC,MKK,HNL,54,20263,1818,1846,Empire Airlines Inc.,HA
TRAIN_837782,7,13,N801HC,LNY,HNL,72,20263,949,1021,Empire Airlines Inc.,HA
TRAIN_884278,7,21,N801HC,LNY,HNL,72,20263,1620,1652,Empire Airlines Inc.,HA
TRAIN_905419,7,10,N956DL,DAB,ATL,366,19790,1414,1545,Delta Air Lines Inc.,DL
TRAIN_997587,7,10,N503NK,MYR,PHL,473,20416,1040,1215,Spirit Air Lines,NK
