ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_074163,3,15,N322DN,ATL,TPA,406,19790,725,847,Delta Air Lines Inc.,DL
TRAIN_177582,3,12,N508MJ,IAD,DTW,383,20378,815,947,Mesa Airlines Inc.,UA
TRAIN_179505,3,1,N715SW,LAX,SMF,373,19393,2040,2200,Southwest Airlines Co.,WN
TRAIN_221288,3,17,N801HC,MKK,HNL,54,20263,1537,1605,Empire Airlines Inc.,HA
TRAIN_397858,3,1,N682PA,DUT,ANC,792,20225,1240,1510,Peninsula Airways Inc.,AS
TRAIN_495162,3,8,N683NK,ORD,RSW,1120,20416,700,1053,Spirit Air Lines,
TRAIN_519246,3,1,N682PA,ANC,DUT,792,20225,945,1200,Peninsula Airways Inc.,AS
TRAIN_560115,3,22,N801HC,HNL,MKK,54,20263,1441,1511,Empire Airlines Inc.,HA
TRAIN_580065,3,7,N744YX,ORD,ATL,606,20452,1750,2056,Republic Airlines,UA
TRAIN_649722,3,17,N384HA,LAX,OGG,2486,19690,900,1210,Hawaiian Airlines Inc.,HA
TRAIN_698026,3,12,N801HC,HNL,JHM,84,20263,1635,1716,Empire Airlines Inc.,HA
TRAIN_764839,3,16,N801HC,LNY,HNL,72,20263,1151,1223,Empire Airlines Inc.,
TRAIN_962822,3,12,N801HC,JHM,HNL,84,20263,1740,1816,Empire Airlines Inc.,HA
