run_id,phase_key,seed,source_row,ID,fold,y_true,probability,threshold,prediction,n_estimators,raw_missing__Month,raw_missing__Day_of_Month,raw_missing__Estimated_Departure_Time,raw_missing__Estimated_Arrival_Time,raw_missing__Cancelled,raw_missing__Diverted,raw_missing__Origin_Airport,raw_missing__Origin_Airport_ID,raw_missing__Origin_State,raw_missing__Destination_Airport,raw_missing__Destination_Airport_ID,raw_missing__Destination_State,raw_missing__Distance,raw_missing__Airline,raw_missing__Carrier_Code(IATA),raw_missing__Carrier_ID(DOT),raw_missing__Tail_Number,feature_missing__Airline,feature_missing__Dep_Hour,feature_missing__Arr_Hour,probability_error,error_type,raw__Month,raw__Day_of_Month,raw__Estimated_Departure_Time,raw__Estimated_Arrival_Time,raw__Cancelled,raw__Diverted,raw__Origin_Airport,raw__Origin_Airport_ID,raw__Origin_State,raw__Destination_Airport,raw__Destination_Airport_ID,raw__Destination_State,raw__Distance,raw__Airline,raw__Carrier_Code(IATA),raw__Carrier_ID(DOT),raw__Tail_Number
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,496,TRAIN_000496,3,0,0.47699456064154044,0.21,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47699456064154044,FP,1,18,1840.0,2050.0,0,0,HSV,12217,Alabama,IAH,12266,Texas,595.0,ExpressJet Airlines Inc.,UA,20366.0,N27200
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,1543,TRAIN_001543,2,0,0.3378801665146646,0.18,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3378801665146646,FP,9,28,920.0,,0,0,LAX,12892,California,RDM,14489,Oregon,726.0,,AA,20304.0,N709SK
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,1926,TRAIN_001926,3,0,0.3341200252977687,0.21,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3341200252977687,FP,11,25,1421.0,1646.0,0,0,EWR,11618,New Jersey,ATL,10397,Georgia,746.0,Delta Air Lines Inc.,DL,,N982DL
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,1046,TRAIN_001046,3,0,0.32676241046899446,0.21,1,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.32676241046899446,FP,2,4,1100.0,1244.0,0,0,RSW,14635,,ATL,10397,Georgia,515.0,Delta Air Lines Inc.,,19790.0,N6706Q
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,542,TRAIN_000542,4,0,0.31964247534181484,0.2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.31964247534181484,FP,1,1,710.0,1014.0,0,0,BUR,10800,California,SLC,14869,Utah,574.0,SkyWest Airlines Inc.,,,N554CA
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,1767,TRAIN_001767,2,0,0.31897651224058016,0.18,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31897651224058016,FP,9,21,912.0,1156.0,0,0,LAX,12892,California,OGG,13830,Hawaii,2486.0,United Air Lines Inc.,UA,19977.0,N37502
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,493,TRAIN_000493,0,0,0.31585658170680847,0.23,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31585658170680847,FP,5,18,1400.0,1635.0,0,0,PHL,14100,,MCO,13204,Florida,861.0,Southwest Airlines Co.,WN,19393.0,N909WN
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,804,TRAIN_000804,2,0,0.3069147013959374,0.18,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3069147013959374,FP,4,15,1840.0,,0,0,LAX,12892,California,SMF,14893,California,373.0,SkyWest Airlines Inc.,UA,,N141SY
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,716,TRAIN_000716,2,0,0.3041725353281979,0.18,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3041725353281979,FP,12,13,905.0,1200.0,0,0,STL,15016,Missouri,DCA,11278,Virginia,719.0,Southwest Airlines Co.,WN,19393.0,N7829B
d90485a94b3867422fb553d8ea8587bbd2ff6c5d8e5501ca43a1076739f3e8f2,P6_fixed,42,972,TRAIN_000972,4,0,0.30017473980291837,0.2,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30017473980291837,FP,9,4,1017.0,,0,0,FLL,11697,Florida,CLT,11057,North Carolina,632.0,American Airlines Inc.,AA,19805.0,N981AN
