ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_101596,8,21,N801HC,HNL,LNY,72,20263,1846,1920,Empire Airlines Inc.,HA
TRAIN_129624,8,29,N801HC,LNY,HNL,72,20263,1418,1450,Empire Airlines Inc.,HA
TRAIN_161412,8,11,N801HC,LNY,HNL,72,20263,1418,1450,Empire Airlines Inc.,HA
TRAIN_223102,8,30,N86316,IAH,RDU,1042,20378,725,1104,,UA
TRAIN_241919,8,11,N801HC,HNL,JHM,84,20263,936,1017,,HA
TRAIN_253044,8,1,N212JQ,BOS,LGA,184,20452,1400,1530,Republic Airlines,DL
TRAIN_398966,8,3,N801HC,HNL,MKK,54,20263,1722,1752,Empire Airlines Inc.,HA
TRAIN_504819,8,23,N952UW,LGA,BOS,184,19805,1200,1321,American Airlines Inc.,
TRAIN_605366,8,26,N806HC,JHM,HNL,84,20263,1740,1816,Empire Airlines Inc.,HA
TRAIN_631760,8,11,N801HC,LNY,HNL,72,20263,1620,1652,Empire Airlines Inc.,HA
TRAIN_742567,8,21,N801HC,LNY,HNL,72,20263,1946,2018,Empire Airlines Inc.,HA
TRAIN_941771,8,30,N801HC,HNL,JHM,84,20263,936,1017,Empire Airlines Inc.,
TRAIN_971542,8,11,N801HC,HNL,LNY,72,20263,1520,1554,Empire Airlines Inc.,HA
