month,day,rows_2018,rows_2019,share_2018
2,1,601,972,0.3820724729815639
2,2,637,757,0.4569583931133429
2,3,476,725,0.39633638634471274
2,4,538,918,0.3695054945054945
2,5,642,863,0.42657807308970097
2,6,600,904,0.39893617021276595
2,7,623,944,0.39757498404594765
2,8,605,964,0.38559592096876993
2,9,536,726,0.4247226624405705
2,10,513,934,0.35452660677263304
2,11,572,943,0.37755775577557754
2,12,607,874,0.4098582039162728
2,13,609,999,0.3787313432835821
2,14,578,1006,0.3648989898989899
2,15,627,1007,0.38372093023255816
2,16,645,763,0.4580965909090909
2,17,518,894,0.3668555240793201
2,18,579,1053,0.3547794117647059
2,19,641,972,0.3973961562306262
2,20,605,977,0.38242730720606827
2,21,662,1014,0.39498806682577564
2,22,676,990,0.4057623049219688
2,23,623,756,0.4517766497461929
2,24,542,906,0.3743093922651934
2,25,609,988,0.38134001252348154
2,26,602,956,0.386392811296534
2,27,569,920,0.38213566151779715
2,28,592,1000,0.37185929648241206
7,1,738,931,0.44218094667465546
7,2,758,918,0.4522673031026253
7,3,662,899,0.42408712363869316
7,4,654,788,0.4535367545076283
7,5,745,893,0.4548229548229548
7,6,773,893,0.4639855942376951
7,7,660,1073,0.3808424697057126
7,8,836,1056,0.4418604651162791
7,9,807,1001,0.4463495575221239
7,10,742,1073,0.40881542699724516
7,11,682,1039,0.39628123184195235
7,12,774,1128,0.4069400630914827
7,13,765,867,0.46875
7,14,676,985,0.4069837447320891
7,15,758,1107,0.4064343163538874
7,16,780,1064,0.4229934924078091
7,17,693,1082,0.39042253521126763
7,18,810,1134,0.4166666666666667
7,19,776,1101,0.41342567927543955
7,20,819,920,0.47096032202415183
7,21,733,1095,0.4009846827133479
7,22,755,1049,0.41851441241685144
7,23,819,1060,0.43587014369345395
7,24,729,1093,0.40010976948408344
7,25,768,1076,0.4164859002169197
7,26,799,1095,0.4218585005279831
7,27,773,893,0.4639855942376951
7,28,720,1024,0.41284403669724773
7,29,763,1104,0.4086770219603642
7,30,818,1063,0.4348750664540138
7,31,752,1040,0.41964285714285715
11,1,1320,926,0.5877114870881567
11,2,1427,756,0.6536875858909758
11,3,1052,984,0.5166994106090373
11,4,1354,971,0.5823655913978495
11,5,1421,925,0.6057118499573743
11,6,1303,947,0.5791111111111111
11,7,1313,1092,0.5459459459459459
11,8,1443,1007,0.5889795918367347
11,9,1532,809,0.654421187526698
11,10,1098,983,0.5276309466602594
11,11,1315,1010,0.5655913978494623
11,12,1475,1028,0.589292848581702
11,13,1340,969,0.5803378085751407
11,14,1443,1030,0.5835018196522442
11,15,1463,987,0.5971428571428572
11,16,1508,756,0.666077738515901
11,17,1183,940,0.557230334432407
11,18,1246,988,0.5577439570277529
11,19,1323,978,0.5749674054758801
11,20,1390,989,0.5842791088692728
11,21,1452,1038,0.5831325301204819
11,22,843,1025,0.4512847965738758
11,23,945,862,0.5229662423907028
11,24,1375,974,0.5853554704129417
11,25,1432,1000,0.5888157894736842
11,26,1396,992,0.5845896147403685
11,27,1368,1047,0.5664596273291925
11,28,1339,565,0.7032563025210085
11,29,1422,741,0.6574202496532594
11,30,1333,1098,0.5483340189222542
