dimension,value,eligible_rows,matched_rows,unmatched_rows,unmatched_rate
Carrier_ID(DOT),19393,11248,11248,0,0.0
Carrier_ID(DOT),19687,926,926,0,0.0
Carrier_ID(DOT),19690,725,725,0,0.0
Carrier_ID(DOT),19790,8376,8376,0,0.0
Carrier_ID(DOT),19805,7995,7995,0,0.0
Carrier_ID(DOT),19930,2297,2297,0,0.0
Carrier_ID(DOT),19977,5641,5641,0,0.0
Carrier_ID(DOT),20046,894,894,0,0.0
Carrier_ID(DOT),20225,11,11,0,0.0
Carrier_ID(DOT),20237,635,635,0,0.0
Carrier_ID(DOT),20263,66,66,0,0.0
Carrier_ID(DOT),20304,6750,6750,0,0.0
Carrier_ID(DOT),20363,2076,2076,0,0.0
Carrier_ID(DOT),20366,1415,1415,0,0.0
Carrier_ID(DOT),20368,606,606,0,0.0
Carrier_ID(DOT),20378,2054,2054,0,0.0
Carrier_ID(DOT),20397,2388,2388,0,0.0
Carrier_ID(DOT),20398,2750,2750,0,0.0
Carrier_ID(DOT),20409,2602,2602,0,0.0
Carrier_ID(DOT),20416,1562,1562,0,0.0
Carrier_ID(DOT),20427,897,897,0,0.0
Carrier_ID(DOT),20436,1157,1157,0,0.0
Carrier_ID(DOT),20445,556,556,0,0.0
Carrier_ID(DOT),20452,2680,2680,0,0.0
Carrier_ID(DOT),20500,686,686,0,0.0
Carrier_ID(DOT),21167,776,776,0,0.0
Airline,(missing),7299,7299,0,0.0
Airline,Air Wisconsin Airlines Corp,791,791,0,0.0
Airline,Alaska Airlines Inc.,2054,2054,0,0.0
Airline,Allegiant Air,546,546,0,0.0
Airline,American Airlines Inc.,7128,7128,0,0.0
Airline,Capital Cargo International,803,803,0,0.0
Airline,Comair Inc.,2092,2092,0,0.0
Airline,"Commutair Aka Champlain Enterprises, Inc.",486,486,0,0.0
Airline,Compass Airlines,711,711,0,0.0
Airline,Delta Air Lines Inc.,7459,7459,0,0.0
Airline,Empire Airlines Inc.,57,57,0,0.0
Airline,Endeavor Air Inc.,1883,1883,0,0.0
Airline,Envoy Air,2417,2417,0,0.0
Airline,ExpressJet Airlines Inc.,1257,1257,0,0.0
Airline,Frontier Airlines Inc.,1034,1034,0,0.0
Airline,"GoJet Airlines, LLC d/b/a United Express",611,611,0,0.0
Airline,Hawaiian Airlines Inc.,644,644,0,0.0
Airline,Horizon Air,840,840,0,0.0
Airline,JetBlue Airways,2334,2334,0,0.0
Airline,Mesa Airlines Inc.,1845,1845,0,0.0
Airline,Peninsula Airways Inc.,7,7,0,0.0
Airline,Republic Airlines,2401,2401,0,0.0
Airline,SkyWest Airlines Inc.,6033,6033,0,0.0
