dimension,value,eligible_rows,matched_rows,unmatched_rows,unmatched_rate
Carrier_ID(DOT),19393,10302,10302,0,0.0
Carrier_ID(DOT),19687,363,363,0,0.0
Carrier_ID(DOT),19690,627,627,0,0.0
Carrier_ID(DOT),19790,2932,2932,0,0.0
Carrier_ID(DOT),19805,3215,3215,0,0.0
Carrier_ID(DOT),19930,820,820,0,0.0
Carrier_ID(DOT),19977,4524,4524,0,0.0
Carrier_ID(DOT),20046,744,744,0,0.0
Carrier_ID(DOT),20225,5,5,0,0.0
Carrier_ID(DOT),20237,589,589,0,0.0
Carrier_ID(DOT),20253,18,18,0,0.0
Carrier_ID(DOT),20263,75,75,0,0.0
Carrier_ID(DOT),20304,3923,3923,0,0.0
Carrier_ID(DOT),20363,811,811,0,0.0
Carrier_ID(DOT),20366,1298,1298,0,0.0
Carrier_ID(DOT),20368,804,804,0,0.0
Carrier_ID(DOT),20378,1211,1211,0,0.0
Carrier_ID(DOT),20397,942,942,0,0.0
Carrier_ID(DOT),20398,1006,1006,0,0.0
Carrier_ID(DOT),20409,2424,2424,0,0.0
Carrier_ID(DOT),20416,1421,1421,0,0.0
Carrier_ID(DOT),20427,357,357,0,0.0
Carrier_ID(DOT),20436,946,946,0,0.0
Carrier_ID(DOT),20445,332,332,0,0.0
Carrier_ID(DOT),20452,1536,1536,0,0.0
Carrier_ID(DOT),20500,503,503,0,0.0
Carrier_ID(DOT),21167,326,326,0,0.0
Carrier_ID(DOT),21171,308,308,0,0.0
Airline,(missing),4595,4595,0,0.0
Airline,Air Wisconsin Airlines Corp,643,643,0,0.0
Airline,Alaska Airlines Inc.,745,745,0,0.0
Airline,Allegiant Air,712,712,0,0.0
Airline,American Airlines Inc.,2860,2860,0,0.0
Airline,Cape Air,18,18,0,0.0
Airline,Capital Cargo International,327,327,0,0.0
Airline,Comair Inc.,836,836,0,0.0
Airline,"Commutair Aka Champlain Enterprises, Inc.",305,305,0,0.0
Airline,Compass Airlines,291,291,0,0.0
Airline,Delta Air Lines Inc.,2591,2591,0,0.0
Airline,Empire Airlines Inc.,68,68,0,0.0
Airline,Endeavor Air Inc.,718,718,0,0.0
Airline,Envoy Air,900,900,0,0.0
Airline,ExpressJet Airlines Inc.,1148,1148,0,0.0
Airline,Frontier Airlines Inc.,847,847,0,0.0
Airline,"GoJet Airlines, LLC d/b/a United Express",432,432,0,0.0
Airline,Hawaiian Airlines Inc.,562,562,0,0.0
Airline,Horizon Air,319,319,0,0.0
Airline,JetBlue Airways,2185,2185,0,0.0
Airline,Mesa Airlines Inc.,1093,1093,0,0.0
Airline,Peninsula Airways Inc.,5,5,0,0.0
Airline,Republic Airlines,1379,1379,0,0.0
Airline,SkyWest Airlines Inc.,3486,3486,0,0.0
Airline,Southwest Airlines Co.,9207,9207,0,0.0
Airline,Spirit Air Lines,1237,1237,0,0.0
Airline,Trans States Airlines,532,532,0,0.0
Airline,United Air Lines Inc.,4049,4049,0,0.0
Airline,Virgin America,272,272,0,0.0
carrier_group,previously-absent operator,3294,3294,0,0.0
carrier_group,reporting carrier,39068,39068,0,0.0
route,ABE->ATL,4,4,0,0.0
route,ABE->CLT,3,3,0,0.0
route,ABE->DTW,2,2,0,0.0
route,ABE->FLL,3,3,0,0.0
route,ABE->ORD,7,7,0,0.0
route,ABE->PGD,1,1,0,0.0
route,ABE->PHL,6,6,0,0.0
route,ABE->PIE,1,1,0,0.0
