ID,Month,Day_of_Month,Tail_Number,Origin_Airport,Destination_Airport,Distance,Carrier_ID(DOT),Estimated_Departure_Time,Estimated_Arrival_Time,Airline,Carrier_Code(IATA)
TRAIN_186988,2,14,N928LR,PHX,ABQ,328,20378,1330,1443,Mesa Airlines Inc.,AA
TRAIN_652665,2,9,N682PA,DUT,ANC,792,20225,1240,1510,Peninsula Airways Inc.,AS
TRAIN_663433,2,15,N682PA,ANC,DUT,792,20225,945,1200,Peninsula Airways Inc.,AS
TRAIN_786008,2,12,N976NN,SNA,DFW,1205,19805,900,1356,American Airlines Inc.,AA
TRAIN_847684,2,18,N486HA,OGG,HNL,100,19690,2308,2344,Hawaiian Airlines Inc.,HA
TRAIN_856472,2,22,N13202,ORF,EWR,284,20445,1225,1400,"Commutair Aka Champlain Enterprises, Inc.",UA
TRAIN_858651,2,24,N505MJ,IAD,CLT,322,20378,2215,2339,Mesa Airlines Inc.,UA
TRAIN_875917,2,13,N681PA,DUT,ANC,792,20225,1810,2040,Peninsula Airways Inc.,AS
TRAIN_885406,2,14,N17185,MLU,IAH,262,20366,1605,1725,ExpressJet Airlines Inc.,UA
TRAIN_935719,2,28,N11191,RIC,IAD,100,20445,2030,2120,"Commutair Aka Champlain Enterprises, Inc.",UA
