month,day,rows_2018,rows_2019,share_2018
1,1,910,875,0.5098039215686274
1,2,1069,983,0.5209551656920078
1,3,938,949,0.4970853206147324
1,4,794,885,0.4729005360333532
1,5,892,760,0.5399515738498789
1,6,746,937,0.44325609031491386
1,7,991,977,0.5035569105691057
1,8,961,841,0.5332963374028857
1,9,865,865,0.5
1,10,912,937,0.4932395889670092
1,11,901,985,0.4777306468716861
1,12,958,729,0.5678719620628334
1,13,692,841,0.45140247879973905
1,14,807,956,0.4577424844015882
1,15,996,871,0.533476164970541
1,16,845,871,0.49242424242424243
1,17,912,923,0.49700272479564034
1,18,941,980,0.4898490369599167
1,19,934,660,0.5859473023839398
1,20,712,714,0.4992987377279102
1,21,840,961,0.46640755136035533
1,22,901,819,0.5238372093023256
1,23,846,914,0.48068181818181815
1,24,888,958,0.4810400866738895
1,25,945,1008,0.4838709677419355
1,26,981,711,0.5797872340425532
1,27,749,866,0.46377708978328175
1,28,861,879,0.49482758620689654
1,29,942,806,0.5389016018306636
1,30,903,785,0.534952606635071
1,31,889,952,0.4828897338403042
2,1,601,972,0.3820724729815639
2,2,637,757,0.4569583931133429
2,3,476,725,0.39633638634471274
2,4,538,918,0.3695054945054945
2,5,642,863,0.42657807308970097
2,6,600,904,0.39893617021276595
2,7,623,944,0.39757498404594765
2,8,605,964,0.38559592096876993
2,9,536,726,0.4247226624405705
2,10,513,934,0.35452660677263304
2,11,572,943,0.37755775577557754
2,12,607,874,0.4098582039162728
2,13,609,999,0.3787313432835821
2,14,578,1006,0.3648989898989899
2,15,627,1007,0.38372093023255816
2,16,645,763,0.4580965909090909
2,17,518,894,0.3668555240793201
2,18,579,1053,0.3547794117647059
2,19,641,972,0.3973961562306262
2,20,605,977,0.38242730720606827
2,21,662,1014,0.39498806682577564
2,22,676,990,0.4057623049219688
2,23,623,756,0.4517766497461929
2,24,542,906,0.3743093922651934
2,25,609,988,0.38134001252348154
2,26,602,956,0.386392811296534
2,27,569,920,0.38213566151779715
2,28,592,1000,0.37185929648241206
3,1,708,1036,0.4059633027522936
3,2,635,813,0.43853591160220995
3,3,594,1009,0.3705552089831566
3,4,651,1001,0.3940677966101695
3,5,698,1002,0.41058823529411764
3,6,707,1074,0.3969679955081415
3,7,586,1020,0.36488169364881695
3,8,700,1070,0.3954802259887006
3,9,670,845,0.44224422442244227
3,10,657,984,0.40036563071297987
3,11,716,911,0.4400737553779963
3,12,699,995,0.41263282172373084
3,13,638,918,0.41002570694087404
3,14,722,1022,0.4139908256880734
3,15,722,1008,0.41734104046242776
3,16,750,878,0.4606879606879607
3,17,644,993,0.3934025656689065
3,18,713,984,0.42015321154979374
3,19,731,895,0.44956949569495697
3,20,698,949,0.4238008500303582
3,21,569,1008,0.3608116677235257
3,22,782,1061,0.4243081931633207
3,23,656,858,0.4332892998678996
3,24,667,954,0.41147439851943246
3,25,696,994,0.41183431952662725
3,26,767,981,0.4387871853546911
3,27,670,947,0.41434755720470007
3,28,747,983,0.43179190751445085
3,29,705,962,0.42291541691661666
3,30,697,816,0.4606741573033708
3,31,618,997,0.3826625386996904
4,1,966,1081,0.47191011235955055
4,2,1038,901,0.5353274883960805
4,3,1062,966,0.5236686390532544
4,4,1026,1002,0.5059171597633136
4,5,999,980,0.504800404244568
4,6,1091,814,0.5727034120734908
4,7,837,973,0.46243093922651934
4,8,1002,989,0.5032646911099949
4,9,1087,945,0.5349409448818898
4,10,1014,970,0.5110887096774194
4,11,1026,996,0.5074183976261127
4,12,1067,1029,0.5090648854961832
4,13,1022,811,0.5575559192580469
4,14,793,984,0.4462577377602701
4,15,997,1014,0.495773247140726
4,16,1108,923,0.5455440669620877
4,17,1005,943,0.5159137577002053
4,18,965,1020,0.48614609571788414
4,19,1093,1084,0.5020670647680294
4,20,1010,743,0.576155162578437
4,21,828,911,0.4761357101782634
4,22,1008,1008,0.5
4,23,974,958,0.5041407867494824
4,24,1020,945,0.5190839694656488
4,25,1018,950,0.5172764227642277
4,26,1040,972,0.5168986083499006
4,27,1073,742,0.5911845730027548
4,28,834,872,0.488862837045721
4,29,977,1053,0.4812807881773399
4,30,1035,940,0.5240506329113924
5,1,676,967,0.411442483262325
5,2,664,1018,0.3947681331747919
5,3,748,1031,0.4204609331084879
5,4,752,869,0.4639111659469463
5,5,572,975,0.3697478991596639
5,6,762,1030,0.4252232142857143
5,7,746,908,0.45102781136638453
5,8,706,987,0.41701122268163027
5,9,736,1046,0.41301907968574636
5,10,779,1054,0.4249863611565739
5,11,773,794,0.49329929802169753
5,12,585,997,0.3697850821744627
5,13,725,1011,0.4176267281105991
5,14,719,958,0.4287418008348241
5,15,651,987,0.3974358974358974
5,16,724,1090,0.39911797133406834
5,17,762,1073,0.4152588555858311
5,18,751,811,0.48079385403329067
5,19,656,1033,0.38839550029603315
5,20,747,1047,0.41638795986622074
5,21,781,1044,0.42794520547945203
5,22,702,986,0.4158767772511848
5,23,745,1096,0.40467137425312333
5,24,775,1116,0.4098360655737705
5,25,711,806,0.46868820039551745
5,26,578,843,0.4067558057705841
5,27,676,982,0.4077201447527141
5,28,673,970,0.40961655508216677
5,29,736,1067,0.4082085413200222
5,30,726,1070,0.4042316258351893
5,31,753,995,0.43077803203661325
6,1,680,827,0.45122760451227606
6,2,535,1012,0.345830639948287
6,3,615,1004,0.37986411365040146
6,4,678,943,0.41826033312769895
6,5,652,994,0.39611178614823817
6,6,646,1052,0.38044758539458184
6,7,676,1046,0.39256678281068524
6,8,700,857,0.449582530507386
6,9,623,1047,0.37305389221556884
6,10,697,989,0.41340450771055753
6,11,720,1030,0.4114285714285714
6,12,683,1047,0.3947976878612717
6,13,712,1081,0.39709983268265475
6,14,730,1095,0.4
6,15,710,915,0.4369230769230769
6,16,573,1033,0.35678704856787047
6,17,643,1028,0.38479952124476363
6,18,668,1122,0.37318435754189944
6,19,708,1089,0.39398998330550916
6,20,668,1056,0.3874709976798144
6,21,715,1071,0.40033594624860025
6,22,678,892,0.4318471337579618
6,23,639,1081,0.3715116279069767
6,24,674,1091,0.38186968838526913
6,25,706,1087,0.39375348577802566
6,26,666,1058,0.3863109048723898
6,27,708,1121,0.3870967741935484
6,28,806,1065,0.4307856761090326
6,29,689,972,0.4148103552077062
6,30,685,1033,0.3987194412107101
7,1,738,931,0.44218094667465546
7,2,758,918,0.4522673031026253
7,3,662,899,0.42408712363869316
7,4,654,788,0.4535367545076283
7,5,745,893,0.4548229548229548
7,6,773,893,0.4639855942376951
7,7,660,1073,0.3808424697057126
7,8,836,1056,0.4418604651162791
7,9,807,1001,0.4463495575221239
7,10,742,1073,0.40881542699724516
7,11,682,1039,0.39628123184195235
7,12,774,1128,0.4069400630914827
7,13,765,867,0.46875
7,14,676,985,0.4069837447320891
7,15,758,1107,0.4064343163538874
7,16,780,1064,0.4229934924078091
7,17,693,1082,0.39042253521126763
7,18,810,1134,0.4166666666666667
7,19,776,1101,0.41342567927543955
7,20,819,920,0.47096032202415183
7,21,733,1095,0.4009846827133479
7,22,755,1049,0.41851441241685144
7,23,819,1060,0.43587014369345395
7,24,729,1093,0.40010976948408344
7,25,768,1076,0.4164859002169197
7,26,799,1095,0.4218585005279831
7,27,773,893,0.4639855942376951
7,28,720,1024,0.41284403669724773
7,29,763,1104,0.4086770219603642
7,30,818,1063,0.4348750664540138
7,31,752,1040,0.41964285714285715
8,1,1046,1103,0.4867380176826431
8,2,1091,1085,0.5013786764705882
8,3,1009,904,0.527443805541035
8,4,893,1066,0.4558448187850944
8,5,1029,1033,0.49903006789524734
8,6,1083,1039,0.5103675777568332
8,7,1005,975,0.5075757575757576
8,8,1042,1089,0.48897231346785547
8,9,1160,1062,0.5220522052205221
8,10,1057,911,0.5370934959349594
8,11,931,1018,0.4776808619805028
8,12,1026,1087,0.4855655466161855
8,13,1047,1111,0.48517145505097314
8,14,1047,1084,0.4913186297512905
8,15,1054,1106,0.487962962962963
8,16,1081,1092,0.49746893695352046
8,17,1089,871,0.5556122448979591
8,18,871,1027,0.4589041095890411
8,19,1042,1031,0.502653159671973
